1081 ,j ,142,1593
4830 ,t ,613,1928
111 ,Q ,3789,3033
4262 ,p ,865,4487
932 ,V ,320,3463
2475 ,M ,4526,2259
433 ,m ,4716,838
2715 ,m ,444,4936
4484 ,O ,3790,2221
1882 ,M ,1632,2843
3027 ,K ,1565,4294
4203 ,P ,2261,2589
2957 ,l ,3788,3811
617 ,J ,2649,1400
2736 ,V ,1170,4313
3072 ,d ,1605,3232
4856 ,A ,97,2642
2114 ,r ,1065,3199
1141 ,w ,753,1051
4804 ,T ,4343,1092
4734 ,U ,1593,344
1655 ,F ,1153,3858
964 ,z ,4314,3986
4926 ,n ,1353,2517
4512 ,G ,937,3137
3114 ,n ,3990,2379
3134 ,Y ,4190,515
3375 ,Y ,4717,4565
521 ,w ,2774,3806
4005 ,g ,4240,1839
1370 ,P ,2614,1172
1661 ,D ,3658,1708
216 ,T ,1275,3875
4846 ,h ,3058,2033
66 ,H ,2319,3629
2358 ,q ,4735,262
2466 ,I ,4253,4944
2672 ,t ,1340,1405
2501 ,M ,3776,2838
3447 ,i ,2978,3437
3032 ,e ,333,1432
917 ,b ,4030,1162
2397 ,W ,2105,2204
2217 ,o ,3364,705
2034 ,N ,3972,2398
2138 ,W ,347,338
1703 ,T ,4837,1411
4607 ,n ,2728,3627
2975 ,A ,2124,1328
4168 ,S ,3646,2507
971 ,l ,4525,764
1061 ,r ,1677,1477
4568 ,R ,1170,3093
2663 ,s ,410,2843
385 ,j ,2347,2715
1487 ,p ,2800,4649
4541 ,e ,3991,1251
2004 ,a ,256,1866
2257 ,C ,1648,3134
823 ,M ,4205,3064
2869 ,C ,4986,776
1710 ,E ,4856,1376
4862 ,p ,4272,1958
106 ,D ,3153,1290
3497 ,m ,3998,2639
633 ,O ,1306,640
4882 ,M ,1957,1722
3305 ,v ,698,845
262 ,J ,4118,2960
2093 ,t ,2774,4160
1420 ,H ,1725,751
3441 ,G ,2926,4041
268 ,L ,4937,2339
3847 ,L ,4924,2149
1549 ,z ,1711,4846
4456 ,C ,2493,2311
3325 ,s ,986,787
3571 ,Q ,2162,2262
829 ,a ,189,336
2175 ,A ,2323,822
4119 ,i ,4937,1209
3060 ,X ,4759,2275
3524 ,e ,1527,4021
3244 ,T ,702,1943
3981 ,C ,113,2839
4508 ,S ,4484,4236
2751 ,O ,2478,924
975 ,U ,862,3480
272 ,d ,2463,1481
386 ,L ,3044,3981
3336 ,W ,3371,1746
665 ,B ,43,820
541 ,o ,2688,1030
4529 ,u ,2521,4169
1353 ,o ,1078,1743
4469 ,q ,3911,4454
2328 ,f ,512,161
412 ,h ,979,2414
3476 ,y ,2952,4429
888 ,D ,675,1799
2021 ,T ,116,1593
3387 ,G ,3625,2514
3651 ,A ,3920,4696
1310 ,D ,3689,2861
4970 ,R ,2243,531
2466 ,h ,3813,1526
1170 ,x ,2281,285
2698 ,A ,3242,2794
2920 ,c ,4916,2866
151 ,X ,3404,897
2994 ,U ,2635,2645
1010 ,S ,3604,1760
421 ,r ,857,4619
657 ,s ,4207,398
1515 ,f ,3688,4261
3309 ,c ,2080,441
2756 ,T ,1204,2300
2966 ,J ,3742,358
2008 ,x ,2379,2146
403 ,U ,2342,3087
2319 ,q ,955,1168
4347 ,m ,4688,1473
2584 ,Y ,2197,3167
2953 ,U ,593,1728
4072 ,Y ,2850,3545
1098 ,L ,359,1049
1070 ,W ,1972,3385
3775 ,C ,1356,3694
1466 ,b ,3278,1520
3265 ,s ,3441,1854
4939 ,I ,1493,2418
3920 ,P ,2740,2700
2119 ,W ,2702,21
1057 ,o ,3820,801
4504 ,D ,4500,1472
3665 ,q ,126,1682
1758 ,V ,4569,3079
4521 ,f ,3969,1667
4201 ,t ,2377,4978
4932 ,l ,1910,1229
242 ,j ,2137,356
1060 ,Q ,2877,868
2906 ,d ,1454,434
3763 ,s ,727,2935
2146 ,S ,363,3041
2638 ,Y ,164,1414
2348 ,N ,3652,2836
345 ,x ,646,1531
1158 ,U ,2848,3968
741 ,G ,2399,1758
848 ,r ,4098,315
4485 ,P ,2046,3278
3704 ,R ,4976,4161
2714 ,C ,4058,1083
4764 ,k ,602,1105
2300 ,P ,4047,1881
3040 ,z ,2361,4497
2679 ,b ,1420,1860
4499 ,I ,2280,1342
2617 ,H ,4055,4746
1500 ,v ,30,606
1954 ,v ,3345,450
506 ,m ,1096,3625
1292 ,z ,631,3647
2258 ,Y ,2730,657
1152 ,p ,1380,520
4618 ,b ,2585,3147
3961 ,h ,3874,2051
4052 ,U ,2094,1107
3844 ,Z ,4256,374
3210 ,V ,1914,921
2373 ,u ,1788,3999
3022 ,X ,1059,3309
4001 ,K ,1086,4991
1700 ,z ,1983,31
1175 ,T ,3955,361
156 ,S ,2454,3784
260 ,p ,2127,2687
812 ,G ,1994,1667
2850 ,Z ,2442,2742
2217 ,f ,990,3621
2834 ,B ,2367,463
2378 ,W ,4804,2312
1138 ,R ,50,995
1347 ,F ,1676,4759
771 ,j ,2556,4012
502 ,a ,4837,4755
3527 ,l ,3613,1586
2792 ,b ,4788,1205
2615 ,u ,733,627
79 ,l ,4905,3120
175 ,F ,4798,4183
4179 ,N ,4449,2792
1347 ,b ,133,218
3772 ,i ,2877,1272
2321 ,O ,1123,3786
4195 ,p ,4972,4744
3644 ,t ,242,288
4600 ,P ,3642,1791
139 ,U ,4005,1507
